ind_id,ind_definition,reportyear,race_eth_code,race_eth_name,geotype,geotypevalue,geoname,county_name,county_fips,region_name,region_code,strata_one_code,strata_one_name,strata_two_code,strata_two_name,numerator,denominator,estimate,ll_95ci,ul_95ci,se,rse,ca_decile,ca_rr,version
75,Modified retail food environment index,2017,9,Total,CT,6001400900,4009,Alameda,6001,Bay Area,1,,,,,12,43,27.90697674,14.50018517,41.31376832,6.840199785,24.5107159,,1.560067352,11/15/2017
75,Modified retail food environment index,2017,9,Total,CT,6001401000,4010,Alameda,6001,Bay Area,1,,,,,14,51,27.45098039,15.20296603,39.69899476,6.248986921,22.76416664,,1.534576055,11/15/2017
75,Modified retail food environment index,2017,9,Total,CT,6001401100,4011,Alameda,6001,Bay Area,1,,,,,14,66,21.21212121,11.34919333,31.0750491,5.032106064,23.72278573,,1.18580877,11/15/2017
75,Modified retail food environment index,2017,9,Total,CT,6001401200,4012,Alameda,6001,Bay Area,1,,,,,12,69,17.39130435,8.447743087,26.33486561,4.563041459,26.23748839,,0.972215886,11/15/2017
75,Modified retail food environment index,2017,9,Total,CT,6001401300,4013,Alameda,6001,Bay Area,1,,,,,14,91,15.38461538,7.971455562,22.79777521,3.782224399,24.58445859,,0.86003713,11/15/2017
75,Modified retail food environment index,2017,9,Total,CT,6001401400,4014,Alameda,6001,Bay Area,1,,,,,15,73,20.54794521,11.27897668,29.81691373,4.729065575,23.0147858,,1.148679728,11/15/2017
75,Modified retail food environment index,2017,9,Total,CT,6001401500,4015,Alameda,6001,Bay Area,1,,,,,8,32,25,9.996875325,40.00312467,7.654655446,30.61862178,,1.397560336,11/15/2017
75,Modified retail food environment index,2017,9,Total,CT,6001401600,4016,Alameda,6001,Bay Area,1,,,,,12,51,23.52941176,11.88751527,35.17130826,5.939743109,25.24390821,,1.315350904,11/15/2017
75,Modified retail food environment index,2017,9,Total,CT,6001401700,4017,Alameda,6001,Bay Area,1,,,,,14,51,27.45098039,15.20296603,39.69899476,6.248986921,22.76416664,,1.534576055,11/15/2017
75,Modified retail food environment index,2017,9,Total,CT,6001401800,4018,Alameda,6001,Bay Area,1,,,,,7,14,50,23.80839829,76.19160171,13.3630621,26.72612419,,2.795120672,11/15/2017
75,Modified retail food environment index,2017,9,Total,CT,6001402200,4022,Alameda,6001,Bay Area,1,,,,,9,24,37.5,18.13104933,56.86895067,9.882117688,26.35231383,,2.096340504,11/15/2017
75,Modified retail food environment index,2017,9,Total,CT,6001402400,4024,Alameda,6001,Bay Area,1,,,,,7,33,21.21212121,7.263834832,35.16040759,7.116472643,33.54908532,,1.18580877,11/15/2017
75,Modified retail food environment index,2017,9,Total,CT,6001402500,4025,Alameda,6001,Bay Area,1,,,,,9,34,26.47058824,11.6410047,41.30017177,7.56611405,28.58309752,,1.479769767,11/15/2017
75,Modified retail food environment index,2017,9,Total,CT,6001402600,4026,Alameda,6001,Bay Area,1,,,,,17,86,19.76744186,11.35044044,28.18444328,4.294388481,21.72455349,,1.105047707,11/15/2017
75,Modified retail food environment index,2017,9,Total,CT,6001402700,4027,Alameda,6001,Bay Area,1,,,,,11,93,11.82795699,5.264465638,18.39144834,3.348720077,28.31190611,,0.661211342,11/15/2017
75,Modified retail food environment index,2017,9,Total,CT,6001402800,4028,Alameda,6001,Bay Area,1,,,,,24,113,21.23893805,13.69776286,28.78011325,3.847538364,18.11549313,,1.187307896,11/15/2017
75,Modified retail food environment index,2017,9,Total,CT,6001402900,4029,Alameda,6001,Bay Area,1,,,,,25,111,22.52252252,14.75127337,30.29377168,3.964923038,17.60425829,,1.259063366,11/15/2017
75,Modified retail food environment index,2017,9,Total,CT,6001403000,4030,Alameda,6001,Bay Area,1,,,,,20,102,19.60784314,11.90275275,27.31293352,3.931168565,20.04895968,,1.096125754,11/15/2017
75,Modified retail food environment index,2017,9,Total,CT,6001403100,4031,Alameda,6001,Bay Area,1,,,,,21,104,20.19230769,12.47697326,27.90764213,3.936395119,19.49452821,,1.128798733,11/15/2017
75,Modified retail food environment index,2017,9,Total,CT,6001403300,4033,Alameda,6001,Bay Area,1,,,,,23,104,22.11538462,14.13888241,30.09188683,4.069643985,18.40186845,,1.236303374,11/15/2017
75,Modified retail food environment index,2017,9,Total,CT,6001403400,4034,Alameda,6001,Bay Area,1,,,,,31,149,20.80536913,14.28760681,27.32313145,3.325388939,15.98332103,,1.163070347,11/15/2017
